File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\dev\dsgenie\price_check\bot.inc,153,147,122,17,4,0,2,7,0,0
C:\dev\dsgenie\price_check\common.inc,373,336,195,58,18,4,19,111,0,0
C:\dev\dsgenie\price_check\drupal.api.inc,619,575,375,98,6,0,38,141,0,0
C:\dev\dsgenie\price_check\ebay_api.inc,1894,1615,841,132,205,3,74,357,0,0
C:\dev\dsgenie\price_check\lines.bat,1,1,0,1,0,0,0,0,0,0
C:\dev\dsgenie\price_check\menu.inc,458,455,75,1,3,0,0,0,0,0
C:\dev\dsgenie\price_check\pages.dev.inc,595,507,306,46,61,1,27,74,0,0
C:\dev\dsgenie\price_check\pages.inc,1198,1072,603,100,51,2,75,244,0,0
C:\dev\dsgenie\price_check\price_check.info,5,3,0,0,2,0,0,0,0,0
C:\dev\dsgenie\price_check\price_check.js,42,31,23,2,3,0,8,25,0,0
C:\dev\dsgenie\price_check\price_check.module,4481,3794,2398,437,278,53,409,1689,0,0
C:\dev\dsgenie\price_check\price_check.test,23,17,8,1,4,0,2,16,0,0
C:\dev\dsgenie\price_check\spider.inc,195,175,143,25,10,0,10,31,0,0
C:\dev\dsgenie\price_check\testing.inc,839,709,284,16,82,0,48,148,0,0
